id,state.abbrev,station,city,county,zipcode,latitude,longitude
4923,MO,EVERTON POLICE DEPT,,,,,
4924,MO,FAIR GROVE POLICE DEPT,,,,,
4925,MO,FAIR PLAY POLICE DEPT,,,,,
4926,MO,FAIRVIEW POLICE DEPT,,,,,
4927,MO,FAYETTE POLICE DEPT,,,,,
4928,MO,FERGUSON POLICE DEPT,,,,,
4929,MO,FESTUS POLICE DEPT,,,,,
4930,MO,FLORDELL HILLS POLICE DEPARTMENT,,,,,
4931,MO,FOLEY POLICE DEPT,,,,,
4932,MO,FORDLAND POLICE DEPT,,,,,
4933,MO,FORISTELL POLICE DEPT,,,,,
4934,MO,FORSYTH POLICE DEPT,,,,,
4935,MO,FRANKLIN COUNTY NARC ENF,,,,,
4936,MO,FRANKLIN COUNTY SHERIFF DEPT,,,,,
4937,MO,FREDERICKTOWN POLICE DEPT,,,,,
4938,MO,GARDEN CITY POLICE DEPT,,,,,
4939,MO,GASCONADE COUNTY SHERIFF DEPT,,,,,
4940,MO,GERALD POLICE DEPT,,,,,
4941,MO,GIDEON POLICE DEPARTMENT,,,,,
4942,MO,GIDEON POLICE DEPT,,,,,
4943,MO,GLADSTONE DEPT OF PUBLIC SAFETY,,,,,
4944,MO,GRAIN VALLEY POLICE DEPT,,,,,
4945,MO,GREENE COUNTY SHERIFF DEPT,,,,,
4946,MO,GREENE COUNTY SHERIFFS OFFICE,,,,,
4947,MO,GREENFIELD POLICE DEPT,,,,,
4948,MO,GREENWOOD POLICE DEPT,,,,,
4949,MO,HARRISONVILLE POLICE DEPT,,,,,
4950,MO,HARTVILLE POLICE DEPT,,,,,
4951,MO,HENRIETTA POLICE DEPT,,,,,
4952,MO,HERMANN POLICE DEPT,,,,,
4953,MO,HILLSDALE POLICE DEPT,,,,,
4954,MO,HOLDEN POLICE DEPT,,,,,
4955,MO,HOLLISTER POLICE DEPT,,,,,
4956,MO,HOLT COUNTY SHERIFF DEPT,,,,,
4957,MO,HOLT POLICE DEPT,,,,,
4958,MO,HOLTS SUMMIT POLICE DEPT,,,,,
4959,MO,HOWARD COUNTY SHERIFF DEPT,,,,,
4960,MO,HOWARD COUNTY SHERIFFS OFFICE,,,,,
4961,MO,HOWELL COUNTY SHERIFF DEPT,,,,,
4962,MO,HOWELL COUNTY SHERIFFS OFFICE,,,,,
4963,MO,HUMANSVILLE POLICE DEPT,,,,,
4964,MO,HURLEY POLICE DEPT,,,,,
4965,MO,IBERIA POLICE DEPT,,,,,
